video_id,title,ocr_text,published_at
"=""VMlC8WdgS5g""",강남 영끌 성공했지만 절대 추천 안 하는 이유 #김경필,강남영균성공처만 전대추천안하논이유 이이탑의라 비슷간건기요? KB부산T,2025-09-02 05:56:39+00:00
"=""WsvTwybQ8sc""",2025 부동산 세제 개편?! 세금 폭탄 피하려면 올해 안에 '이것'부터 하세요 (이장원 세무사 1부),부증쓸기속 KB부물산 fA' 이장원 세무사 2025부탕산세제기편? 올해언이것부터하세요,2025-09-01 23:00:36+00:00
"=""jrRCm2wZ-2I""",6~12억대 가성비 학군지 막차 탑승?! 딱 '두 군데' 남았습니다. (망고쌤_최윤성 대표 3부),부동산클라스 KB부동산 중등부 지적국어학원 모의고사 대비반 잉글리쉬 막차 탑승?! 아글리쉬 망고쌤 최윤성 대표 6~12억대 가성비 학군지 딱'두 군데 남았습니다,2025-08-27 23:00:50+00:00
"=""SFHQJ4MKKEY""",영끌'해도 괜찮을까? 그럴 땐 이렇게 대처해보세요! (아낌없이 주는 희구 11부),아낌없이주는+ 부동산클라스 KB부동산 어디갔지? ㅋㅋㅋㅋㅋㅋ 송희구 작가 '영끌'해도 괜찮을까? 이렇게 대처해보세요!,2025-08-27 00:12:19+00:00
"=""i-1-rTvz9DE""","인구감소 시대 '투자 핵심지', 역세권보다 '이곳'을 노리세요 (망고쌤_최윤성 대표 2부)",KB부물산 '망고램 최문성대표 Q무울어도오카동 PJ 류자핵심지논 '이곳,2025-08-25 23:00:45+00:00
"=""wf4JsUXz5yc""",5억으로 서울 신축 아파트! 은평구 마지막 기회?!,,2025-08-22 00:10:51+00:00
"=""kD0y4eZnvlE""","""대출 규제 효과 끝났다!"" 지금은 슈퍼사이클 초입! 결국 집값 또 오릅니다 (망고쌤_최윤성 대표 1부)","부동산클라스 KB부동산 ""규제 효과 끝났다!"" 망고쌤 최윤성 대표 지금은 슈퍼사이클 초입 결국 집값 또 오릅니다",2025-08-20 23:00:48+00:00
"=""Bl0hExhFBVA""",제가 시키는 대로 하세요! 시원하게 알려드립니다! (아낌없이 주는 희구 10부),K도무동산 낚시 활래요} 꾸건  흉화하 제가 시키논대로 하요 시원하게 알려드컵나다,2025-08-19 23:00:13+00:00
"=""z5iYle8p17s""",노후 생활비 딱 '이 만큼'만 모으세요. 은퇴 후 평생 놀고 먹습니다. (김경필 머니트레이너 3부),부동산클라스 PENSION KB부동산 김경필 머니트레이너 노후 생활비 '이만큼'이면 은퇴 후 평생돈 걱정 끝!,2025-08-18 23:46:31+00:00
"=""bvn93hJfKkQ""","상위 1% 고수만 아는 '이것', 아직 알려지지 않은 AI사용법 (김덕진 소장 풀버전)",지식업 클라스 Genera Ai KB부동산 김덕진 소장 T커뮤니케이션연구소 상위 1% 고수만 아는'이것' 대부분 모르는 AI 사용법,2025-08-17 23:00:30+00:00
"=""PoPtezZ0IBc""",현직 공인중개사가 알려주는 급매물 잡아서 싸게 사는 법' 이렇게' 따라하세요 (정지영_아임해피 풀버전),[W중다k 티KB부동산 아입해 정지영 인중개사7 패집야서싸게 i미협자 현적,2025-08-14 23:00:32+00:00
"=""gBdtaCHPPVI""","""집 꼭 사야하나요?"" '이때'부터 친구와 자산 격차 벌어집니다(김경필 머니트레이너 2부)",맞스 KE POOR 길경필 머니트레이터 이때부터친구와 고산격차 벌어집나다 RCH,2025-08-13 23:00:50+00:00
"=""7S9xZ2l_5wU""",모든 답은 현장에! '여기에' 절대 돈 쓰지 마세요 (아낌없이 주는 희구 9부),사훈_초다+ KB부동증 '여기에' 돈쓰지마세요,2025-08-12 23:00:06+00:00
"=""zQ-IBCFyYK8""",제가 직접 영끌해보고 알았습니다. 내 집 마련 '이렇게' 하세요 (김경필 머니트레이너 1부),"콜라스 KB부동산 시조새 김경필 머니트레이너 영플해보고 알안심니다 내집마련 '이렇게' 하세요 300영골- UDI,",2025-08-11 23:00:57+00:00
"=""3kI079NNRU0""","대출 규제 후 6주째, 서울 아파트에 무슨 일이?","대출규제 후 6주째 서울아파트에 무슨일이? 어, 이번에 강남 11개구가 KB부동산TV ד",2025-08-08 05:19:23+00:00
"=""iul-kAaHKt4""","재건축·재개발 투자한다면, 제발 '여기'부터 보세요 (아임해피 정지영 대표 3부)",부중산증라스 KB부국산 아임해피 정지영 [재건축 재개발투자핸다면 제발 여기 부터보세요,2025-08-06 23:00:48+00:00
"=""bSmqBnM-WnM""",향후 가치 상승 기대?! '이곳'을 주목하세요,평가급먹이 1아진다?! YBIu도:EP},2025-08-06 08:00:46+00:00
"=""hQ2fioJOztc""",살기 좋은 곳 vs 값이 오를 곳! 노후를 위해 어디에 사는 게 좋을까? (아낌없이 주는 희구 8부),[요무동산 아올탕 살기 좋은 곳 Vs 닮이 오들 노년기언어니예살자?,2025-08-05 23:00:39+00:00
"=""0IW0JIWjvFU""","장위뉴타운의 숨겨진 보석, 장위 13구역?!",대장 장위뉴타운의 숨겨진 보석! 장위13구역!! ANSE KB부동산 박호련,2025-08-05 08:00:01+00:00
"=""wNX4_EXM8GY""",마.용.성을 놓쳤다면 '이곳'은 꼭 잡아야 합니다 (아임해피 정지영 대표 2부),부동산클라스 KB부동산 마·용·성 놓쳤다면 아임해피 정지영 '이곳'은꼭 잡으세요,2025-08-04 23:01:01+00:00
"=""8SzUFgIy45U""",시세 차익에 실거주까지?! 이문동에서 주목해야 할 곳은?,시세차익에 실거주까지?! KB부동산 대정부 이문동의 변화 박호련 KB부동산 KB OCTUB,2025-08-04 09:00:19+00:00
"=""8zwveg8ULgY""",강남 출퇴근 지옥 끝? GTX 역세권 되는 동네는?,감논 $퇴근 지국 7? GG빵EJLKSPEE 장권],2025-08-04 08:00:08+00:00
"=""SFyb94dcANc""",한국 부동산 너무 올랐다! 앞으로 자산은 '이곳'에 모으세요 (김경록 박사 풀버전),부동산클라스 KB부동산 김경록 박사 한국 부동산 너무 올랐다 자산은 '이곳'에 모으세요,2025-08-03 23:00:22+00:00
"=""c-FtyimB3-o""",대학가 지역은 피해라? '이곳'은 아닙니다. 천지개벽 될 곳은?!,대화가 저의온 피해라? EEOEJEI기T} E런],2025-08-03 00:00:40+00:00
"=""JQJBUjk7NoI""",지금 주목해야 할 3기 신도시 딱 한 곳 #정지영,37기 신도 치 지금 주목해야할 3기 신도시 딱 한곳 •37기 신도시 교통망 개선 예상 1순위 창릉 신도시 KB부동산TV ㅣ상 1순위,2025-08-02 00:00:28+00:00
"=""VeKCoewLDMM""",PPT 자동 완성 “이 조합 미쳤다”,PPT 자동 완성 “이 조합 미쳤다” 이런 것처럼 KB부동산TV,2025-08-01 02:00:28+00:00
"=""YXsBeZ1T980""",성북구 vs 동대문구 '2억'으로 호재 다 잡을 수 있는 투자 지역은?!,"대장마 KB부동산 동대문구 vs 성북구 2억으로 리모델링·재개발?!"" 호재 지역 TOP3",2025-07-31 23:00:27+00:00
"=""_TjedVpZ20A""",끊임없이 늘어나는 세대 수! 수천 세대 입주가 가져올 미래는? #이문휘경,끊임없이 늘어나는 세대 수 수천세대 입주가 가져올 미래는? KB부동산 김우진 그림 KB부동산 822,2025-07-31 08:00:47+00:00
"=""E1LEGi9gupc""",대출 규제 이후 갭투자 끝났다?! 오히려 내 집 마련 기회! #정지영,갭투자 끝? 오히려 내 집 마련 기회! STS ESS 이번이 기회인 것 같아요 KB부동산TV,2025-07-31 02:00:17+00:00
"=""Nudl73xFlB8""","대출 규제는 오히려 기회?! ""현금 없다면 지금 당장 보세요"" (아임해피 정지영 대표 1부)","부동산클라스 KB부동산 •6-27 대출 규제, 오히려 기회?! 아임해피 정지영 현금없다면 당장 보세요",2025-07-30 23:00:22+00:00
"=""4KkrBoNbYb8""","금 vs 부동산 투자, 충격적인 20년 후 결과 #김경록",'급v3부중산 무자 중격적인2연불권과 단기적 손 배당으로커버 가뭄 KE부국산T,2025-07-30 08:00:04+00:00
"=""SYwWpl0XAy8""",만약 OOO이 온다면?! 대박 기회입니다. 쓸어 담을 준비하세요 (아낌없이 주는 희구 7부),"아낌없이주는 부동산클라스 KB부동산 송희구 작가 만약 00001 온다면?!"" 쓸어담을 준비하세요",2025-07-29 23:00:35+00:00
"=""8s_vJb_SlXo""",평생 돈 버는 방법! 노후 걱정 끝내는 단 '한 가지' 전략 (김경록 박사 3부),KB부물산 박사 후격정끝대는 단 반가지' 전락,2025-07-28 23:00:13+00:00
"=""59yepoUzTHw""",돈만 벌다 망한 노후?! 제발 '이것'도 챙기세요 #김경록 #노후준비,돈만벌다 망한 노후?! 제발 '이것'도 챙기세요 우울해지기도 쉽습니다 KB부동산TV,2025-07-28 02:00:05+00:00
"=""BifU4c_GtCM""",빨리 개설해야 돈 더 버는 절세 계좌 활용법 #김경록,"빨리 개설해야돈 더 버는 절세계좌활용법 연금저축, IRP, 연금보험을 잘 활용하여 세제 혜택을 받아라! 연금저축, KB부동산TV ㅏ 활용하여 HITL כוח",2025-07-26 01:00:19+00:00
"=""SxP4dBBaIQg""",절대 손해 보지 않는 투자 배분 전략 #김경록,절대 손해보지 않는 투자 배분 전략 미국 국채 30년을 기초자산으로 하는 커버드콜 ETF 미국 국채 KB부동산TV 으로 하는 TF,2025-07-25 07:48:50+00:00
"=""RFvU0IYigUU""","서울 아파트, 7월 셋째 주 '이것'이 바뀌었다! 전국 아파트 시세 동향은?",KB부통산TV 정재로 박사 KB국민혼행 부최산사업부 규제에도꿈틀 '풍선효과' 다음타자는?,2025-07-25 06:00:17+00:00
"=""NR_fV3xbIDI""",집 한 채' 믿고 있다간 노후에 땅을 치고 후회합니다 (김경록 박사 2부),부동산클라스 KB부동산 김경록 박사 '집 한 채'로 노후 준비 끝? 노후엔 짐이 될 수 있어요,2025-07-23 23:00:19+00:00
"=""F0e_Ez0aviM""","서울 10억 ~ 12억 대 아파트, 저라면 '여기' 삽니다 (아낌없이 주는 희구 6부)",아낌없이주는 ·희구· 부동산클라스 KB부동산 희구PICK 월드컵 송희구 작가 서울 10억~12억 대 아파트 저라면 '여기' 삽니다,2025-07-22 23:00:22+00:00
"=""DW0GYW_JEcw""",이것' 모르면 나중에 후회합니다. 지금 현금 있다면 '여기'로 옮기세요 (김경록 박사 1부),부동산클라스 KB부동산 김경록 박사 비참한 노후피하려면 현금은 '여기'로 옮기세요,2025-07-22 00:03:36+00:00
"=""we9LalMP_qo""",곧 1만 세대 이상 입주한다! 천지개벽 진행 중인 동북권의 핵심 '이문동'의 가치는?,[표권] 입주로포?!,2025-07-17 23:00:59+00:00
"=""YAEU2yTbcxI""","AI시대, 10년 후에도 살아남을 아이로 키우는 법 (김덕진 소장 3부)",지식업 클라스 ΑΙ KB부동산 AI전문가 김덕진 소장 T커뮤니케이션연구소 저는 요즘 제 아이에게 '이것'을 가르칩니다,2025-07-17 00:00:38+00:00
"=""5k0QQOuAU2k""",경기도-강남 거리 13km vs 서울 내 거리 13km! 희구의 선택은?! (아낌없이 주는 희구 5부),아낌없이주는+ 부동산클라스 VS KB부동산 송희구 작가 경기도-강남 거리 13km vs서울 내 거리 13km,2025-07-15 23:00:05+00:00
"=""h0lTUUbzqb8""",이 AI기능 모르면 부동산 공부할 때 100% 손해봅니다 #김덕진,이 AI모르면부동산에서 100% 손해봅니다 ARA 짝붙여주잖아요? KB부동산TV,2025-07-15 02:30:36+00:00
"=""lMEYWSpu174""",지금 ‘이 기능’ 모르면 뒤쳐집니다. AI시대에서 살아남는 아주 확실한 방법 (김덕진 소장 2부),"지식클라스 PERPLEX A KB부동산 은퇴? 명퇴? ""김덕진 소장 IT커뮤니케이션연구소 두려워하지 마세요 AI로 재취업하는 방법",2025-07-14 23:00:51+00:00
"=""-pMIdsTeCQI""",서울에서 가장 많이 오를 지역은 '이곳' 입니다 #김사부,사 써써 이곳온 기장단이오 겁나다 김시부 죄n가으려 와사치펴 가장단이 KE부-산T,2025-07-14 03:00:00+00:00
"=""LoRzdjQ9Nj8""",서울 입주권이 답이다?! 지금 '이곳' 안 보면 땅을 치고 후회합니다 (김사부 전문가 풀버전),부중산플라스 KB부국산 김사부 서울입주권이답이다? 산투자 전문가 지금'이곳안 보편 땅을치고후회그다,2025-07-13 23:00:17+00:00
"=""5GJ96gj-20o""","하루 걸리던 정보 수집 5분 만에 끝! ""이 AI앱 진짜 미쳤다""",하루 걸리던 정보수집단 5분? 이 Al앱 진짜 미쳤다 그게 이 답변이 어떤 걸 보고 KB부동산TV H,2025-07-13 00:00:05+00:00
"=""RV8gSkhI9b8""",1억 정도 있다면 '이곳'부터 보세요 #김사부,1억정도 있다면 '이곳'부터 보세요 KB부동산TV,2025-07-12 11:00:43+00:00
"=""JO-GZ5r8Umw""",냉장고 한 번 찍고 식단까지 짜는 방법,냉장고한번 찍고 식단까지 짜는 방법 얘가 이거를 갖고 만들 수 있는 AIDIA KB부동산TV CHELO,2025-07-12 00:00:32+00:00
"=""Adlo5Wc_1j4""",자영업자라면 지금 당장 써야 할 AI 기능 #김덕진,DIA 자영업자라면 당장 써야할 AI 기능 배달앱 리뷰를 KB부동산TV,2025-07-11 08:00:15+00:00
"=""bZ9pl7Sivd4""",똘똘한 한 채는 완벽한 '덫'입니다 #김사부,똘똘한 한 채는 완벽한 '덫' 입니다 '영꿀'한 똘똘한 한 채는 절대 못 팔아요 '영끌 KB부동산TV 채는,2025-07-11 05:30:27+00:00
"=""Uc2aWlz0x7o""",지금 사도 최소 10억?! 성수동 재개발의 가치,KB부동산TV 지금 사도 최소 10억?! 성수동재개발의 가치,2025-07-10 23:51:38+00:00
"=""kHq2NTZSrnk""","이거 하나로 월급 2배 상승! ""상위 1%의 AI 진짜 사용법"" (김덕진 소장 1부)",지식클라스 ChatGPT ΘΕ KB부동산 김덕진 소장 IT커뮤니케이션연구소 이거 하나로 월급 2배 상위 1% AI 사용법,2025-07-09 23:00:59+00:00
"=""xMsan_6tBd0""",전재산인 집을 싼값에 팔 사람이 있을까?,전재산인 집을 싼값에 팔사람있을까? 본인의 전 재산인 부동산을 싼 가격에 절대 팔 수 없다! KB부동산TV 본인의 ㅏ을 싸가,2025-07-09 08:01:10+00:00
"=""Kl0wRY-BJvs""",무조건 오르는 부동산! 비밀 공식 대공개★ #김사부,1. 강남권 ・강남과의 교 -1점 무조건 오르는 부동산 이내인 경우 비밀 공식 대공개★ 강남과의 교 20분 이내인 경우(준강님 she 2. 역세권 244 역에서 도보 역에서 도보 「 3. 신축 • 준공된 자기 KB부동산TV 준공된 지 7 LJ,2025-07-09 05:05:19+00:00
"=""UI95TAGy6o0""",이런 아파트' 살고 있다면 지금 당장 갈아타세요 (아낌없이 주는 희구 4부),"서비피회남다+ KB부동산 작가 :""로: 이런 아파트 고있다면 지금당장갈아다세요",2025-07-08 23:00:35+00:00
"=""kPpmAjEcd7I""",이 방법'만 따라하세요 누구나 20억 벌 수 있습니다 #김사부,항상 집을 ㅁㄷ 재 두가지만따라하세요 20억 벌 수 있습니다 항상 집을 두채유하더라도 모든 집에 대한 비과세' 전략! KB부동산TV '저래,2025-07-08 08:38:15+00:00
"=""fchKK_hxeVQ""",대출 규제는 맛보기? 정책 더 나올 겁니다. 미리 대비하세요!,대출 규제는 맛보기? 정책 더 나올겁니다 미리 대비하세요 토허제 확대 재지 9월 30일까지 적용 KB부동산TV 토허제 통 지저요,2025-07-08 02:00:41+00:00
"=""7W3St5Eb9Uk""",비밀 공식 대공개! 무조건 오르는 부동산 '이렇게' 판단하세요 (김사부 전문가 3부),부동산클라스 KB부동산 더 이상 고민금지!! 이런 매물은 김사부 부동산 투자 전문가 눈 감고 사도 오릅니다,2025-07-07 23:00:08+00:00
"=""2D67I2qU-kQ""",앞으로 분양가 계속 비싸집니다 '이 지역'부터 보세요 #심형석교수,자산 5~7억있다면 '지역'부터 보세요 인덕원을 주목해야하는 이유 과천 재건축 이주 수요 때문! KB부동산TV 인덕원 이유 기처,2025-07-07 08:29:02+00:00
"=""rUmn_fPUjKY""",노량진의 대변신! 여의도까지 직통 연결 된다?!,노량진의 대변신! ICBAINE 여의도까지 작동 연결된다! 면적고 만들어 여의도와 노량진을 걸어서 연룩교를 만들어 여의도와 OKB부동산 서,2025-07-05 06:00:47+00:00
"=""WVdsrRjVEfw""",2030세대가 집을 명품백처럼 생각하는 충격적인 이유,2030세대가 집을 명품백처럼 생각하는 충격적 이유 2030세대 거주 비율 1위 관악구 203 KB부동산TV 191,2025-07-05 00:00:42+00:00
"=""rgKWThdyybU""","아파트 거래, 올해가 마지막인 이유 #심형석 #토허제",아파드 거료 - 1가 마지마 기회인 이유 심하계 노으면3]어 썩 노거E요,2025-07-04 06:00:55+00:00
"=""pE5i6XWN87Q""",한강뷰에 노량진과 상도동 생활권 다 누리는 이곳! 노량진 추천 아파트 단지는?!,해ii미 한강류 l고 미래가지 Up! 대장-,2025-07-03 23:00:56+00:00
"=""SrWbcBqHa3A""",고시촌 노량진이 강남 뺨치는 신도시로?! '절대 놓치면 안 되는 이유',고시촌 노량진이 강남 뺨치는 신도시로?! KB부동산 대장부 절대 놓치면 안되는 이유 무엇을 개발할지도리이스! 비어있는 무엇 KB부동산,2025-07-03 08:00:36+00:00
"=""2DdvlmENF4A""","""청약 당첨 그만 노리세요"" 매달 1천만 원씩 벌면서 새 아파트 얻는 방법 대공개 (김사부 전문가 2부)","부동산클라스 KB부동산 ""청약당첨 그만 노리세요"" 김사부 부동산투자 전문가 매달 1천만원씩 벌면서 새 아파트 얻는 방법",2025-07-02 23:53:25+00:00
"=""FQSzu5YSwMc""",최근 서울 직장인들이 노량진으로 모이는 이유,최근 서5 직장언다머 B의aI 잎 대Fa,2025-07-02 08:57:13+00:00
"=""cmNfjMHfnlY""","집 사기 가장 좋은 시기, 저는 '이때'만 기다려요 (아낌없이 주는 희구 3부)",아낌없이주는+ 부동산클라스 기대된당 송희구 작가 KB부동산 집 사기 가장 좋은 시기 저는 '때'만 기다려요,2025-07-01 23:00:42+00:00
"=""t1fP0imVzLM""","이 조건만 알면 자산 10배 금방 됩니다 ""종잣돈 적어도 가능합니다"" (김사부 전문가 1부)","부동산클라스 KB부동산 ""종잣돈적어도 가능합니다"" 이 조건만 알면 김사부 부동산 투자 전문가 자산 10배 금방됩니다",2025-06-30 23:01:04+00:00
"=""-yL2YYOdfxQ""","""방심하지 마세요"" 곧 '이런' 부동산 정책 이어서 나옵니다 (심형석 교수 풀버전)",부동산클라스 BBS MEVIS 이재명 정부의 부동산 정책... 아파트 공급을 늘려야 이재명 대통령은 대선 기간 동안 공급을 확대하겠다는 부분을 강조했습니다 미끈다는 작은 공급이 방심하지마세요 KB부동산 심형석 교수 곧 '이런' 부동산정책 이어서 나옵니다,2025-06-30 08:00:00+00:00
"=""_5Cq6PBf9U4""","투자 규모만 무려 30조 원! 서울 핵심 터미널, 38년 만에 뒤집힌다?!",KB부동산TV 터미널옆집값상승예고?! 30조들어가는동네들,2025-06-26 23:00:40+00:00
"=""zK3jFOshSEc""","부동산 정책 발표 임박?! ""하반기엔 더 무서울 겁니다"" (심형석 교수 3부)",부동산클라스 KB부동산 정부 규제 총정리 심형석 교수 부동산 정책 발표 임박?! 하반기엔 더 무서울 겁니다,2025-06-25 23:01:03+00:00
"=""Kcv3dLHhr0A""","내 연봉에 맞는 집값, 딱 정해드립니다 (아낌없이 주는 희구 2부)","아낌없이주는 부동산클라스 KB부동산 정신 똑바로 차려! 내 연봉에 맞는 집값, 딱 정해드립니다 송희구 작가",2025-06-24 23:00:19+00:00
"=""PASI2eIdhDo""","""어디 사세요?"" 집값이 사람값이 되는 사회 (심형석 교수 2부)","부동산클라스 KB부동산 ""어디 사세요?"" 심형석 교수 집값이 사람값되는 사회",2025-06-23 23:00:23+00:00
"=""isUi8WxzYIg""",지금 미국이 탱크를 못 만드는 이유는 '이것' 때문입니다 (이윤수 교수 풀버전),"부동산클라스 KB부동산 미국은 전쟁나면 이윤수 서강대 경제학부 교수, 탱크도 못 만듭니다",2025-06-23 10:15:03+00:00
"=""h3rBL04rO9s""",KB부동산이어야 하는 이유,모두다~,2025-06-23 00:28:47+00:00
"=""nHk_pehl39c""",개발 끝나면 목동 넘어선다?! 노량진 호재 분석 총정리,대장부 천지개벽 진행 중 KB부동산 개발 끝나면 목동 넘어선다? 노량진 대박 예고,2025-06-19 23:01:00+00:00
"=""-5-5DJNmh8A""","""바겐세일 끝났어요"" 지금이 집 살 수 있는 마지막 기회인 이유 (심형석 교수 1부)","부동산클라스 KB부동산 BIG SALE BIG SALE BIG 심형석 교수 ""바겐세일 끝났어요"" 지금이 마지막 기회인 이유",2025-06-19 01:14:01+00:00
"=""kyf2IL2Qjvo""","10년 지나도 못 팔아요 ""제발 '이런 집' 사세요"" (아낌없이 주는 희구 1부)",아낌없이주는 7 부동산클라스 KB부동산 아묻따 고! 제발 사지마.. 송희구 작가 10년 지나도 못 팔아요 제발 '이런 집' 사세요,2025-06-17 23:00:58+00:00
"=""c-sGtp_MCBg""",무서운 집값 상승세! 부동산 매수가 두렵다면 '이 자산'부터 모으세요 (이윤수 교수 3부),부동산클라스 무서운 집값 상승세 이윤수 서강대 경제학부 교수 KB부동산 부동산 매수가 두렵다면 '이산'부터 모으세요,2025-06-17 00:01:58+00:00
"=""z1fE4bI2clc""",잠실이 교통 1번지인 진짜 이유,교통 스트레스는 이제 그만 KB부동산 김병수 KB부동산,2025-06-15 00:00:58+00:00
"=""p0h9BqK1G9o""","제조업 공동화, 미국 따라가면 한국도 위험하다 #이윤수교수",C '제조업 공동화' 미국 따라가면 한국도 위험하다?! 기업이 커가는 과정에서 KB부동산TV,2025-06-14 00:00:51+00:00
"=""DPnXz_1vj9o""","미국, 전쟁나면 탱크도 못 만든다?!",Ol 미국전쟁나면 탱크도 못만든다?! 일회용마스크를 쓰지만 KB부동산TV I,2025-06-13 09:19:50+00:00
"=""etkCy-b1fac""",강남 역대 최고 상승률! 주간 부동산 이슈 긴급 분석!,KB부동산TV 강남폭등 !!!! 정재훈 박사 KB국민은행 부동산사업부 강남역대최고상승률! 주간부동산이슈긴급분석,2025-06-13 04:45:04+00:00
"=""ExRINuRS6Sg""",잠실에 제2 코엑스까지? 대박 개발 계획 공개,김무진 제2코엑스 확정 KB부동산 잠실가치 급상승이고 KB부동산 고,2025-06-12 23:00:15+00:00
"=""uvg15RXk6jI""",잠실 똘똘한 한 채가 부동산 끝판왕인 이유,잠실 똘똘한 한채 KB부동산 부동산 끝판왕인 이유 613년 정장실과 다른 점? Q. 13 KB부동산 돌릴 점?,2025-06-12 08:00:55+00:00
"=""V8gopiEjJ1Y""",달러 수요 줄면 한국에 무슨 일이 생길까? #이윤수교수,한국이 1980년대 일본과 다른 결정적 이유 일본이 훨씬 강했다는 KB부동산TV,2025-06-12 02:10:28+00:00
"=""QPYPZrcopYs""","""서서히 무너진다"" 한국에 닥친 충격적 변화 (이윤수 교수 2부)",[금만들a_ 3: KB부동산 법 경제화부 N서히I 피다 한국세닥친최격적변화 또:,2025-06-11 23:00:24+00:00
"=""L9JGXtO6vCg""","대선 이후 부동산 어떻게 될까? 뜨거운 집값 논쟁, 이슈 총정리 (2025 대선 특집 토론 풀버전)",부동산클라스 Vs 2025 하반기 집값논쟁 대선 이후 '이렇게' 됩니다,2025-06-11 08:53:39+00:00
"=""oA3ixDCbrVA""","가계부채 늪에 빠진 한국 ""구조부터 싹 바꿔야 합니다"" (이윤수 교수 1부)","부동산클라스 이윤수 서강대 경제학부 교수 KB부동산 한국경제가 멈췄다 불황과 저성장, 탈출구는?",2025-06-09 23:00:50+00:00
"=""ebVgfeqS37Y""","똘똘한 한 채, 송파구에 계획 중이라면 '이곳'으로 가세요",대장휘 KB부동산 송파구 아파트 총정리 어디를 사야할까?,2025-06-08 23:00:48+00:00
"=""XINnJ7ENJAI""","대선 이후, '이때'가 오면 내 집 마련 하세요 (2025 대선 특집 토론 3부)",부동산클라스 KB부동산 김인만 vs 이광수 대선 이후 '이때'가 오면 내집마련 하세요,2025-06-05 06:00:34+00:00
"=""Us21lI86w3Q""","대선 이후 부동산 하락 vs 상승, 과연 전망은?! #대선토론 #부동산전망",대선 이후 부동산하락 vs 상승 과연 전망은?! 이광수 대표의견 서울 중심 OGLASE 서울 중심으로 하반기부터 부동산가격 하락이 시작될 것 KB부동산TV,2025-06-04 06:00:33+00:00
"=""gNsdevSlz9E""",고층 이사 후 건강에 이상?! 실제로 너무 많아요 #천동희 #풍수 #고층,기'를 믹 고층이사후 건강 이상?! 실제로 너무 많아요 '기'를 막아줄 구조가 없어 기운이 떨어진다 KB부동산TV,2025-06-03 06:00:28+00:00
"=""KTjlLwmJ0qc""",월세를 중심으로 전월세는 상승합니다! #대선토론 #부동산전망,김인만 소장의견 2029년까 월세 중심으로 전월세는 상승합니다 강인한 소장의견 2029년까지 입주 물량 부족으로 전세가격 상승은 불가피할 것 KB부동산TV,2025-06-03 02:00:14+00:00
"=""00kb3TFhSh0""",대선 결과 발표 D-0! 하반기 집값의 운명은?,부동산클라스 +23456 10.4645 KB부동산 김인만 vs 이광수 대선 결과 발표 D-O! 하반기 집값의 운명은?,2025-06-02 23:00:00+00:00
"=""rA_3jZbcQBM""",집 살 때 절대 놓치면 안 되는 구조의 비밀,집살때절대 놓치면 안되는구조의 비밀 구조가 풍수에 영향을 미치는 이유? 구조기 KB부동산TV 여하 100,2025-06-01 23:00:47+00:00
"=""MjudjANUMas""","수지 20년 거주 후기 ""자녀가 있다면 꼭 오세요""","수지 20런 거국 무기 BE 외aE홍P1요""",2025-05-31 00:00:23+00:00
